id,chunk,start,end
3780,"encountered virus in diarrheal stools of children. four established serotypes of rotavirus account for 20 to 40 of acute diarrhea. age 9 to 12 months appears to show the peak incidence. excepting newborns, it has been observedto have a predilection for winter and dry months in the indian subcontinent. transmission is by fecooral route. the virus causes reversible patchy villous atrophy and loss in the absorptive capacity of the intestinalmucosa in a cephalocaudal direction.",1564455,1564933
3781,"the intestinalmucosa in a cephalocaudal direction. a marginalreduction in disaccharidases with some reduction in carbohydrate absorption is usually present. such brushborder enzymes as alkaline phosphatase, sucraseand trehalase are also reduced. the small intestinal morphology and function revert to normal within 23 weeks. the incubation period is usually less than 48 hours range 1 to 7 days. the average duration of illness is 5to 7 days.",1564883,1565325
3782,"ys. the average duration of illness is 5to 7 days. an important clinical feature of rotavirus diarrhea is the vomiting that usually precedes the onset ofwatery motions. about 30 to 50 cases show slightfever, 25 mucus in stools and just an occasional case blood in stools and is responsible for 10 to 20 of acute diarrheal cases.",1565275,1565603
3783,"responsible for 10 to 20 of acute diarrheal cases. recently, a new group of viruses, norwalk and nor walklike agents, has been discovered to be associatedwith outbreaks of generally mild gastroenteritisoccurring in school, community and family settings. it was first detected in norwalk, ohio, in 1972. notwithstanding minor histologic insult to small intestinal mucosa, brushborder enzymes are reduced. the incubation period is around 48 hours.",1565553,1565998
3784,"reduced. the incubation period is around 48 hours. the attack is usually mild and selflimited, lasting 12 to 24 hours in a majority of the cases. vomiting, abdominal pain, anorexia, headache, myalgia and malaise are important features of diarrheasecondary to this group of viruses. other viruses incriminated in the etiology of diarrhea include hawaii virus, adenovirus, astroid virus, calcivirus, coronavirus, enterovirus and minirotavirus. bacterial diarrhea: this constitutes the next major group.",1565948,1566448
3785,"l diarrhea: this constitutes the next major group. the most dominant pathogen in this categoryis escherechia coli. diarrheagenic e. coli have 5 classes, namely, enteropathogenic epec, enterotoxigenicetec, enterohemorrhagic ehec, enteroadherenteaec and enteroinvasive eiec. etec are notorious for causing dehydrating diarrhea in developing countries. eiec causes shigellosislike illness. epec is responsible for prolonged diarrhea nonbloody with mucus and at times pyrexia.",1566398,1566870
3786,iarrhea nonbloody with mucus and at times pyrexia. ehec is characterized by abdominal pain and diarrhea which soon becomesbloody hemorrhagic colitis as in case of shigellosis. this is called eiec illness. risk of developing hemolyticuremic syndrome in ehec diarrhea withpyrexia is enhanced. eaec usually causes dehydrating diarrhea which often becomes prolonged as in case of epec.,1566820,1567201
3787," which often becomes prolonged as in case of epec. cholera vibrio 01 and 0139, contrary to the widely held belief, causes severe watery diarrhea andvomiting only in a minority of the children. in mostcases, the infection is mild with minor or no symptoms. shigella, campylobacter jejuni and nontyphoidal salmonella account for about 10, 12 and 3 of acute diarrhea cases, respectively.",1567151,1567535
3788,"0, 12 and 3 of acute diarrhea cases, respectively. these bacteria, along with enteroinvasive e. coli may cause damage to the mucosa of distal ileum and colon through their toxins, leadingto formation of ulcers as also mucosal secretion of water and electrolytes, and dysentry. 446 the short textbook of pediatrics 4parasitic diarrhea: l. giardia is an important cause of recurrent diarrhea. e. histolytica is encountered relatively less frequently in infants and children, h. nana is common in some pockets only.",1567485,1567997
3789," children, h. nana is common in some pockets only. these three pathogens may infrequently cause even dysentrylike manifestations. cryptosporidium , a coccidian protozoan parasite, typically causes watery diarrhea, varying from mildto severe, together with crampy epigastric pain, vomiting, anorexia, malaise and loss of weight.",1567947,1568274
3790,"n, vomiting, anorexia, malaise and loss of weight. inimmunodeficiency states hiv infection, congenital hypogammaglobulinemia, immunosuppressant therapy in hematogenous malignancies, cryptosporidiosis may cause persistent diarrhea which frequently ends up fatally.",1568224,1568487
3791,"sistent diarrhea which frequently ends up fatally. pathogenesis the delicate balance in the ecology of the gastrointes tinal tract needs to be broken down by any of the two situations in order that diarrhea occurs: 1. the conditions in which the defence weakens, say malnutrition both primary and secondary, immu nologic disorders, etc. so that even commensals,organisms with weak virulence, or opportunistorganisms overpower and cause diarrhea.. 2. the known pathogens overcome the natural defence.",1568437,1568936
3792," the known pathogens overcome the natural defence. the pathogenic organisms produce diarrhea by one or more of the following mechanisms: 1. adhesion to the intestinal mucosal wall, e.g. entero pathogenic e. coli epec which are further categorized as class i epec showing localized adherenceand class ii epec showing diffuse adherence. 2. elaboration of an exotoxin, secretory diarrhea e.g.",1568886,1569275
3793,"laboration of an exotoxin, secretory diarrhea e.g. rotavirus, enterotoxigenic e. coli etec, vibrio cholera, aeromonas hydrophilia, plesiomonasshigelloides, causes excessive secretions. fasting has no effect 3. mucosal invasion exudative diarrhea, e.g. entero invasive e. coli eiec, shigella, salmonella nontyphi, cl. defficile, campylobacter jejuni, yersiniaenterocolitica, enteropathogenic e. coli epec, rotavirus, damage and exudative blood. no effectof fasting.",1569225,1569689
3794,", damage and exudative blood. no effectof fasting. the term, osmotic diarrhea, denotes diarrhea from concentrated substances antacids, lactose, lactulose which are not absorbed from the gut. they pull waterfrom intestinal wall into stools. such diarrhea subsides on fasting.",1569639,1569913
3795,"ll into stools. such diarrhea subsides on fasting. in order to appreciate the modus operandi of diarrheal dehydration and dyselectrolytemia, it mustbe noted that diarrheal losses are drawn from extracellular fluid ecf compartment constituted by circulating blood, interstitial fluid and secretions. thiscompartment accounts for the 60 of the body weight of the child. loss of water from the childs body causes shrinkage in the volume of the ecf compartment.",1569863,1570320
3796,"es shrinkage in the volume of the ecf compartment. inaround onehalf cases with excessive sodium loss in stools, hyponatremia develops as a result of fall inserum and ecf sodium levels. since sodium is the major determinant of osmolality, there results fall in osmolality of ecf. then follows movement of waterfrom ecf to icf compartment. further shrinkage of the already shrunk ecf compartment volume becomes inevitable. this is manifested in the form ofloss or impairment of skin elasticity.",1570270,1570762
3797," the form ofloss or impairment of skin elasticity. in a small proportion of cases in whom diarrheal dehydration has been treated with fluids containingfar too much of sodium, osmotic pressure of ecf becomes high, prompting water in icf compartment to move to ecf compartment. this is likely tocamouflage the existence of severe dehydration which may erroneously be interpreted as mild dehydration.",1570712,1571109
3798,"ay erroneously be interpreted as mild dehydration. depletion of ecf compartment leads to reduction in blood volume, causing peripheral circulatory failureand oliguria or anuria. loss of potassium in stools leads to hypokalemia, causing abdominal distention, hypotonia and ecgchanges in the form of st depression and flat t wave. loss of bicarbonate in stools leads to acidemia, causing acidotic respiration kussmaul breathingwhich is characteristically deep and rapid.",1571059,1571527
3799,"eathingwhich is characteristically deep and rapid. clinical features the clinical picture varies in mild, moderate and severecases fig. 24.1; tables 24.2 and 24.3. mild in mild cases, onset is usually insidious with 2 to 5 motions which may be loose, green, offensiveand contain mucus and milk curds. the volume may be small or large. the attack usually subside in a dayor two without any remarkable constitutional manifestations or dehydrations.",1571477,1571923
3800,"ble constitutional manifestations or dehydrations. moderate the number of motions is 10 or more and constitutional symptoms like fever, irritability, pediatric gastroenterology 447 4 anorexia and vomiting are usually present. mild dehydration 3 to 5 is associated. severe here the child passes too many loose motions and has severe vomiting to the extent that nothing is retained and the oral intake becomes virtually impracticable.",1571873,1572305
3801,"d the oral intake becomes virtually impracticable. such cases are most oftencharacterized by sudden rather than gradual onset.they may have marked constitutional symptoms.moderate 5 to 10 to severe 10 dehydrationfurther aggravates the clinical picture. table 24.3 summarizes the clinical picture seen in different grades of dehydration.fig. 24.1: severe diarrheal dehydration . note the characteristic features, including moribund state with shock, acidosis and anuria.",1572255,1572724
3802,"ng moribund state with shock, acidosis and anuria. ors, hailed as the most import ant medical advance of the 20th century, has the potential of saving 10,000 children each daythe child population that could otherwise die from diarrheal dehydration table 24.2: clinical features of viral vs bacterial diarrhea features viral diarrhea bacterial diarrhea noninvasive invasive character of motions watery watery or semisolid with semisolid, small amount, very mucus but no blood frequent, with mucus and blood vomiting severe only slight moderate pyrexia slight nil moderate to high upper respiratory infection usually present nil nil seizures nil nil occasionally toxemia nil nil slight stool microscopy moderate pus cells nad moderate pus and red cells table 24.3: clinical picture of differnt grades of dehydration grades clinical pictures mild 3 to 5 weight loss irritability or drowsiness; pallor; somewhat sunken eyes.",1572674,1573594
3803,"ility or drowsiness; pallor; somewhat sunken eyes. moderate 6 to 10 sicklooking child; pallor; weight loss depressed fontanel; sunken eyes; dry mucous membrane; dry and inelastic skin. severe 10 weight loss signs of superimposed shock, like coma, limpness, pallor, cold and clammy skin, thin rapid or almost impalpable peripheralpulses; metabolic acidosis; olig uria or anuria.",1573544,1573921
3804,"alpulses; metabolic acidosis; olig uria or anuria. 448 the short textbook of pediatrics 4manifestations secondary to cns disturbances are prominent in all types of severe dehydration table 24.4. hepertonic dehydration has more of these. early irritability, alternating with apathy, mayprogress to restlessness, cloudiness of conciousness, delirium or stupor, lethargy and coma. convulsions may occur at any stage. the high viscosity of bloodmay cause as serious a complication as cerebral thrombosis.",1573871,1574371
3805," as serious a complication as cerebral thrombosis. table 24.4: clinical picture in isotonic, hypotonic and hypertonic dehydration criteria isotonic hypertonic hypotonic skin color gray gray gray temperature cold cold or hot cold turgor poor fair very poor feel dry thickened clammy moist mucous dry parched slightly moist membrane eyes sunken and sunken sunken and soft soft anterior depressed depressed depressedfontanelsensorium drowsy very irritable comatose pulse rapid moderately rapid rapid blood low moderately very low pressure low in addition to cerebral thrombosis, conditions that may cause seizures in acute diarrhea or age include marked hyponatremia, rapid correction ofhypernatremia, hypocalcemia, hypomagnesemia, encephalitis and shigellosis.",1574321,1575079
3806,"mia, hypomagnesemia, encephalitis and shigellosis. clinical assessment of diarrheal dehydration since laboratory investigations are most often notavailable, it is advisable to make the best use of ones clinical knowledge in evaluating the grades and typeof dehydration tables 24.1 to 24.6.treatment a.conventional rehydration therapyreplacement of the fluids as soon as possible, is the sheetanchor of management of acute diarrhea.",1575029,1575460
3807,"s the sheetanchor of management of acute diarrhea. 1.oral rehydration therapy ort, as described in details later in this very chapter, is ideal for mild dehydration and a majority of the children with moderate dehydration. one may use the standardwho ors, one of its modifications, or a home made electrolyte solution hes. there are distinct advantages in using a cerealbased solution suchas ricewater electrolyte solution rwesd, especially since it has a better tolerance and provides greater energy.",1575410,1575911
3808,"as a better tolerance and provides greater energy. each motion must be followed by replacement with an equal amount of ors. breastfeeding mustnot be discontinued. in fact, it potentiates theusefulness of ort. 2.intravenous fluid therapy is indicated in cases withsevere dehydration fig. 24.2 and those who failto retain ors persistently.",1575861,1576198
3809,"24.2 and those who failto retain ors persistently. it consists of deficit and maintenance therapy.table 24.5: clinical picture in certain special situations conditions physical signs acidosis breathing increased in depth and rate alkalosis breathing decreased in depth and rate; latent or manifest tetany. hypokalemia abdominal distention, paralytic ileus hypotonia, hyporeflexia; mental apathy; ecg changes.",1576148,1576556
3810,"potonia, hyporeflexia; mental apathy; ecg changes. hyperkalemia fibrillation or paralysis of skeletalmuscles;ecg changes hypocalcemia tetany; paralytic ileushypercalcemia hypotonia; fecal masseshypomagnesemia tetany; muscular twitching hypermagnesemia cns depression; hyporeflexia table 24.6: assessment of diarrheal dehydration as per who area of clinical observation actual observations no dehydrtion some dehydration severe dehydration general condition well.",1576506,1576968
3811,"dration severe dehydration general condition well. alert restless, irritable lethargic, unconscious eyes normal sunken sunken thirst drinks normally, drinks eagerly, drinks poorly, not thirsty thirsty unable to drink skin pinch goes back quickly goes back slowly goes back very slowly pediatric gastroenterology 449 4deficit therapy a particular grade of dehydration, moderate for instance, may mean variation between 5 to 10 weight loss.",1576918,1577356
3812,"e, may mean variation between 5 to 10 weight loss. it is, therefore, rather unrealistic to administer the same amount of fluid to all suchchildren. table 24.7 gives a modification of a popular scoring system. it has yielded gratifying results in our as well as others experience in managing dehydratedinfants and children.",1577306,1577628
3813,"rience in managing dehydratedinfants and children. table 24.7: dehydration scoring system score 1 score 2 l.irritability, drowsiness, or lethargy 1. shockcoma 2. sunken anterior fontanel andor eyes 2. acidosis 3. dry mucous membrane andor skin 3. anuria4. loss of skin turgor 4. moribund state 5. abdominal distention6. tachycardia7.",1577578,1577911
3814,"bund state 5. abdominal distention6. tachycardia7. oliguria the deficit therapy is obtained by the following: score  weight in kg  10 thus, an 18monthold, weighing 10 kg and scoring 8 points 8 dehydration or weight loss requires 8 10  10  800 ml of fluids to cover the deficit as a resultof dehydration.",1577861,1578164
3815,"ds to cover the deficit as a resultof dehydration. maintenance therapy it is best calculated as already outlined in chapter 16. thus, again taking up the justcited example, this 18monthold needs 125  10  1,250 ml of fluids24 hours table 24.8. plan of therapy different centers employ different plans. the following lines of administering the fluids is generally favored fig.",1578114,1578488
3816,"administering the fluids is generally favored fig. 24.3.i.initial therapy of the total fluids calculated for 24 hours, onefifth is given rapidly in the form of ringer lactate in 2.5 or 5 glucose during the first1 to 2 hours. if anuria persists despite rapid flushing in of the iv fluids, a bolus dose of frusemide may be administered. if the child passes urine, the iv drip is conti nued. else, the child is treated as for acute renal failure, reducing the fluid intake considerably.",1578438,1578921
3817,"l failure, reducing the fluid intake considerably. ii.continuation therapy for rest of the 24 hours, remai ning fourfifth fluid is administered slowly. here,half strength darrow solution which is relativelyrich in potassium is ideal. the aforesaid plan of fluid therapy works well in a vast majority of the cases. it takes care of potassium deficiency as wellas acidosis.",1578871,1579242
3818,"s care of potassium deficiency as wellas acidosis. complications such as metabolic acidosis, paralytic ileus or hypocalcemic tetany are rare with this regimen.maintenance of fluids and electrolytes should continue over the second 24 hours even if diarrhea has stopped in the very first 24 hours. in severe acidosis co 2 8 meql, it is advisable to give additional alkali which should be infused in amounts as per the following formula: ml of nahco3 7.5  bicarbonate deficit meql  body weight kg  0.5.fig.",1579192,1579695
3819,"bicarbonate deficit meql  body weight kg  0.5.fig. 24.2: severe diarrheal dehydration. note the classical features  to determine number of drops per minute apply this equation. no. of dropsminute  ml to be given in one hour 3  the vast majority of pediatric dehydration in india is isotonic. the regimen is, therefore, by far the best in our setup.",1579645,1579993
3820,"gimen is, therefore, by far the best in our setup. 450 the short textbook of pediatrics 4in situations where it is difficult to determine the base deficit, sodium bicarbonate may be given in the dose of 2 to 3 ml per kg. it is advisable to review the child after 2 hours to find if further correction is needed. in case of severe hypokalemia, additional potas sium in the dose of 1 to 3 meqkg may be added to the drip.",1579943,1580361
3821,"the dose of 1 to 3 meqkg may be added to the drip. contrary to earlier recommendation, insistence on passing urine freely before potassiumis administered is not necessary. if possible, an ecg should be done. in the event of occurrence ofhyperkalemia, exchange resins, or digoxin are of value.iv nacl and ca are also helpful. for hyponatremia , full strength electrolyte solutions and even 3 nacl may be used. significant hypernatremia requires solutions with sodium content of around 30 meql.",1580311,1580803
3822,"s solutions with sodium content of around 30 meql. highly diluted solutions may cause convulsions and other neurologicmanifestations. rarely, very serious cases of hyper natremia may need peritoneal dialysis as is done in the case of acute renal failure. finally, it needs to be remembered that plain solutions, like 5 glucose, should never be used forintravenous of dehydration correction.",1580753,1581143
3823, be used forintravenous of dehydration correction. the world health organization who recom mendations on the management of acute diarrhea in infants and children are given later in this very chapter.,1581093,1581292
3824,"and children are given later in this very chapter. b. who guidelines on management of diarrheal dehydration plan a for no dehydration objective: prevention of dehydration it is carried at home and consists of  ors administration , in amounts exceeding normal requirements  6 months 50 ml 14th glass 7 months  2 yr 50100 ml 14  ½ glass 2 yrs  5 yr 100  200 ml 12  1 glasslater as much as the child accepts  continuing normal feeding asking the caretaker to bring back the child after 2 days even earlier in the presence of such danger signals fever, repeated vomiting, dehydration,blood in stools plan b for some dehydration objective: correction of dehydration and prevention of malnutrition correction of dehydration is carried out by administering ors, 75 ml 50100 mlkg over aperiod of 4 hours.",1581242,1582038
3825,"ing ors, 75 ml 50100 mlkg over aperiod of 4 hours. continuing breastfeeding other feeding  reassessment after 4 hours. if adequately rehydrated, deal as in plan a  if poor response to ors, treat as in plan c. plan c for severe dehydration objective: quick correction of severe dehydration with iv fluids preferably ringers lactate in a hospital fig.",1581988,1582337
3826,uids preferably ringers lactate in a hospital fig. 24.3: the five steps of diarrhea and its managementtable 24.8: composition of important intravenous solutions meql solution na k mg cl hco3 isotonic saline 154   154  0.9 nacl ringer lactate 130 4  109 28 halfstrength 61 18 3 52 27darrow solution sodium bicarbonate 892    892 nahco 3 7.5 sodium lactate n6 167    167 pediatric gastroenterology 451 4  1 yr 30 mlkg within fist hour followed by 70 mlkg over next 5 hours  1 yr 30 mlkg within ½ hour followed by 70 ml kg over next 2 ½ hour.,1582287,1582826
3827,"in ½ hour followed by 70 ml kg over next 2 ½ hour. assess every 12 hour  if no improvement, give iv fluid more rapidly  if improvement, complement with ors as soon the infant starts accepting it. after 6 hours in infants and 3 hours in older children, opt for the suitable plan a, b or c depending on the assessed hydration status. c. chemotherapy table 24.9 bacterial or parasitic organisms are not isolated fromthe large majority of pediatric patients suffering from acute diarrheal disease.",1582776,1583269
3828,"c patients suffering from acute diarrheal disease. routine use of chemotherapeutic agents is, therefore, generally notfavored by the experts. however, chemotherapeutic cover may be indicated in patients in whom diarrhea is known or is strongly presumed to be bacterialprotozoal. table 24.9 summarizes the recommenda tions of the indian academy of pediatrics, appropriately updated, in this behalf. ampicillin is by far the best and the drug of choice in severe gastrointestinal infections.",1583219,1583708
3829,"g of choice in severe gastrointestinal infections. the dose is 50 to100 mgkgday divided doses. it may be givenorally, intramuscularly or intravenously. it is bactericidal, and safe. diarrhea due to shigella, salmonella, e. coli, staphylococcus and streptococcuspromptly responds to this broadspectrum semisynthetic penicillin. unfortunately, ampicillin, given orally, is not well tolerated by children. amoxycillin , 20 to 40 mgkgday in 3 divided doses, claims to be marginally superior to ampicillin.",1583658,1584159
3830,"s, claims to be marginally superior to ampicillin. furazolidine, a safe and potent antidiarrheal agent, effective in many grampositive bacterial species and strains. it is also effective in diarrhea associated with giardiasis. the dose is 8 mgkg day divided doses with a maximum of 200 mg. it is contraindicated inthe newborn owing to the potential risk of g6pd deficiency leading to hemolytic anemia. it is available for oral administration only.",1584109,1584556
3831,"mia. it is available for oral administration only. cotrimoxazole , having a very wide spectrum of activity, may be employed with gratifying responsein bacterial diarrhea. the dose is calculated on the basisof 4 to 10 mgkgday of trimethoprim. nalidixic acid , 50 mgkgday in 4 divided doses, is of considerable value in shigella and e. coli infections of the gut. erythromycin , 30 to 50 mgkg day in 4 divided doses, is effective in diarrhea due to campylobacter jejuni and vibrio cholera.",1584506,1584993
3832,"ea due to campylobacter jejuni and vibrio cholera. norfloxacin, 412 mgkgday in 2 divided doses, and ciprofloxacin ,1030 mgkgday in 2 divided doses, though very effective, need to be judiciously used in infants and small children. with regard to chemotherapy of diarrhea due to protozoa, entamoeba histolytica and giardia lamblia , see chapter 20 pediatric parasitosis.",1584943,1585311
3833,"ia lamblia , see chapter 20 pediatric parasitosis. table 24.9: updated indian academy of pediatrics iap recommendations on chemotherapy for bacterial and protozoal diarrhea etiologic agents chemotherapy remarks shigella nalidixic acid, cotrimoxazole, ampicillin enteroinvasive e. coli nalidixic acid, cotrimoxazole ampicillin, inj gentamicin in case of septicemia salmonella ampicillin, chloramphenicol chemotherapy indicated  infants under 6 months immunocompromised infants  clinical suspicion of bacteremia campylobacter jejuni erythromycin, furazolidin use of chemotherapy not indeed necessary chloramphenicol, gentamicin since it is selflimiting infection vibrio cholerae furazolidine, cotrimoxazoletetracycline, erythromycin, ent.",1585261,1585997
3834,"ine, cotrimoxazoletetracycline, erythromycin, ent. histolytica metronidazole, tinidazole, secnidazole paromomycin l. giardia metronidazole, tinidazole, secnidazole, ornidazole, furazolidine, albendazole 452 the short textbook of pediatrics 4d.",1585947,1586190
3835,"bendazole 452 the short textbook of pediatrics 4d. symptomatic control in the past, nonspecific antidiarrheal agents like codeine, morphia, tincture opium, charcoal, chalk, anticholinergic drugs, products of hydroscopic bulk psyllium seed or plantago ovtum, kaolin, bismuth,pectin, diphenoxylate hydrochloride and loperamide hydrochloride have been used. these drugs are either not quite effective or their use is accompanied byunpleasantuntoward sideeffects. these are no longer recommended.",1586140,1586632
3836,"ward sideeffects. these are no longer recommended. the role of prostaglandin inhibitors and antisecretory agents such as aspirin, thoughtheoretically significant, needs detailed evaluation in the therapy. e. diet prolonged starvation damages rather than helps andshould be discouraged. even hypocaloric oral therapy during an episode of diarrhea and vomiting may lead to severe malnutrition.",1586582,1586973
3837,"rhea and vomiting may lead to severe malnutrition. lack of attention to nutritionduring diarrhea appears to be the largest contributor factor to overwhelming problem of malnutrition in the indian subcontinent. banana, apple pulp, yoghurt, curd, potatoes, rice, wheat, etc. should be given as soon as possible. foodsrich in fats or sugar, including juices and soft drinks,should be avoided.",1586923,1587312
3838,"ncluding juices and soft drinks,should be avoided. current recommendations on nutritional management of acute diarrhea are as follows: since most nutrients are wellabsorbed during diarrhea and since diarrhea predisposes to malnutrition, it is safe and desirable to continuebreastfeeding as also other feeding during a diarrheal episode. that rest to gut promotes early recovery is no longer held true. it has nophysiologic basis at all.",1587262,1587698
3839,"nger held true. it has nophysiologic basis at all. optimally energydense foods with minimal bulk, given in small quantities every 2 to 3 hours,promote better nutrition. since staple foods do not provide optimal calories per unit weight, these are best enriched with richersources of energy like fats and oils, e.g. khichri with oil, rice with milk or curd, mashed banana withmilk or curd, mashed potato with oi,l etc.",1587648,1588065
3840,"ana withmilk or curd, mashed potato with oi,l etc. foods with high fiber content coarse fruits and vegetables as also soft drinks and juices with veryhigh sugar content may be avoided during an acutediarrheal episode. in artificiallyfed infants, milk should preferably be given undiluted during all phases of acute diarrhea. if the infant is over 4 months, milk cereal mixture say daliasago, ricemilk is stronglyrecommended.",1588015,1588439
3841,"re say daliasago, ricemilk is stronglyrecommended. transient lactose intolerance, which is frequent in acute diarrheal disease, does not warrant lactosefree milk unless it persists beyond 8 to 10 days and is accompanied by progressive weight loss. during convalescence from acute diarrhea, dietary intake should be enhanced by at least 25 ofnormal to make up for the losses during illness and to promote rapid weight gain until the child attainsnormal nutritional status.",1588389,1588860
3842," until the child attainsnormal nutritional status. finally, it is most appropriate to reemphasize the whounicef slogan that the full package for diarrhea therapy in a vast majority of children is ors and continued feeding. f. ancillary measures these include control of vomiting by sips of ors, amild antiemetic or stomach wash, and treatment of any other accompanying problem. if iv drip is tobe prolonged, vitamins should be added to the infusion.",1588810,1589259
3843,"olonged, vitamins should be added to the infusion. it is advisable to restore the normal intestinal flora lactobacilli which may be destroyed by the disease or by antibiotic therapy by administering a preparation containing lactobacillus strains. abdominal distention, if mild and with normal bowel sounds, warrant no intervention.",1589209,1589540
3844,"with normal bowel sounds, warrant no intervention. paralytic ileus,manifested by gross abdominal distention and pooror absent bowel sounds, is an indication for temporary withdrawal of oral feeds, intermittent nasogastric suction and administration of potassium chloride witha parenteral fluids. the existence of septicemia orenterocolitis should be seriously considered andtreated energetically. zine, 20 mgday o, in every child with diarrhea, for 2 weeks is recommended by the iap.",1589490,1589973
3845,"h diarrhea, for 2 weeks is recommended by the iap. seizures during acute diarrhea may result from several factors, namely fever, hypo or hypernatremia,hypoglycemia, hypocalcemia consequent uponadministration of bicarbonate for correction of acidosis, meningitis, encephalitis, cavernous sinus thrombosis, etc.",1589923,1590232
3846,"is, encephalitis, cavernous sinus thrombosis, etc. after symptomatic control of seizures with iv diazepam or another suitable anticonvulsant pediatric gastroenterology 453 4has been attained, attention should be paid to treat the etiologic basis of seizures. prognosis i.age: mortality is higher in newborns and infants than in older children. ii.nutritional status : diarrhea in malnourished children carries poor prognosis.",1590182,1590607
3847,"a in malnourished children carries poor prognosis. even mild to moderate diarrhea in such subjects may cause almost irreversible metabolic alterations, causing death. in one investigation, while the mortality inwellnourished patients was 4.3, it was 22 in those suffering from marasmus. iii.causative organism and severity of illness : e. coli resistant to most available antibiotics and shigella cause very severe illness.",1590557,1590980
3848,"ntibiotics and shigella cause very severe illness. iv.associated illnesscomplications : presence of profound dehydration, electrolyte imbalance orbronchopneumonia definitely has adverse effect on the outcome. v.management : promptness and adequacy of treatment also have great bearing on the ultimateoutcome. prevention i.improvement in the nutritional status of the children. malnutrition predisposes to diarrhea whichfurther aggravates the state of poor nutrition.",1590930,1591396
3849,"ichfurther aggravates the state of poor nutrition. ii.improvement in communitys water supply , sanitation and hygiene. mothers must ensure proper handwashing before serving, preparing or eating food, using clean potable, preferably boiled or filtered, drinking water, protecting food fromcontamination by flies, cockroaches and dirt, washing fruits and vegetables before use, and proper disposal of excreta fig.",1591346,1591757
3850,"es before use, and proper disposal of excreta fig. 24.4. iii.breast biological feeding should be encouraged those who are bound to stick to artificial feeding shouldlearn the hygienic preparation of the formula andcare of bottle, teats, etc.iv. mothers must be taught when to consult the doctor in case of diarrhea. v. standardized simple method of administering intravenous fluids should be available not only inthe cities but in rural areas as well. vi.",1591707,1592162
3851," only inthe cities but in rural areas as well. vi. easy availability of take home ors sachets vii.rotavirus vaccine an oral tetravalent rotavirus vaccine against all four major serotypes incorporating rrv and reabsorbent viruses human serotype gl, g2 and g4 in a single vaccine is now available. etec vaccine and cholera vaccine are available whereas a live shigella vaccine is round the corner.",1592112,1592507
3852,"ereas a live shigella vaccine is round the corner. complicationssequelae  dehydration with its widespread complications, including renal shutdown, paralytic ileus, thromboembolism, seizures. superadded infections including thrombophlebitis at the site of cutdown. overhydration and ccf. malnutrition. hypoglycemia. syndrome of inappropriate secretion of antidiuretic hormone adh. carbohydrate intolerance and chronic diarrhea.",1592457,1592883
3853,dh. carbohydrate intolerance and chronic diarrhea. subdural collection of fluidblood that may possibly cause mental retardation in later life. consumptive coagulopathy. toxic megacolon. cholera this is a form of severe gastroenteritis characterized by sudden onset of profuse effortless watery diarrhea followed by vomiting and severe dehydration. theseverest form of cholera is termed cholera gravis.,1592833,1593234
3854,"severest form of cholera is termed cholera gravis. etiology the causative agent is labeled as vibrio cholerae 01 or v. cholerae 0139 group 1. the classical biotype is nowfig. 24.4: major gains of biological feeding  children with significant pem often suffer from hypotonic dehydration. this observation is in sharp contrast with the picture seen in other children in whom dehydration is usually of isotonictype. malnourished children, should, therefore, receive: i. either isotonic or even hypertonic solution.",1593184,1593695
3855,"e: i. either isotonic or even hypertonic solution. ii. additional potassium. iii.additional sodium bicarbonate or sodium lactate to combatsevere acidosis. iv. relatively less amount of fluids. 454 the short textbook of pediatrics 4by and large replaced by the e1 t or biotype mostly belonging to the serotype ogawa. in addition to the known 138 serotypes of v. cholerae , a new serotype non01 identical to the indian serotype has been identified in bangladesh.",1593645,1594105
3856,"indian serotype has been identified in bangladesh. it behaves like v. cholerae 01 in causing a severe disease through production of a large quantity of cholera toxin. epidemiology though epidemics are now infrequent the july august 1988 outbreak in delhi and other parts of the country was the most remarkable in the recent decades, cholera is currently endemic in maharashtra,tamil nadu, madhya pradesh, andhra pradesh and assam. these states account for 80 of the total incidence in india.",1594055,1594546
3857,"es account for 80 of the total incidence in india. bengal is no longer considered asthe home of cholera. the disease is transmitted by the fecooral route, the channels of transmission being contaminatedwater, contaminated foods or drinks, or direct person toperson contact. poor environmental sanitation thus, constitutes the lifeline for spread of cholera. clinical features incubation period is 1 to 2 days with a variation offew hours, to 5 days.",1594496,1594945
3858,"to 2 days with a variation offew hours, to 5 days. clinical picture shows the following three stages: 1.stage i stage of evacuation is characterized by profuse, effortless watery diarrhea with ricewater appearance as many as 50 motionsday followed by vomiting and rapidly developing dehydration. 2.stage ii stage of collapse is characterized by severe dehydration, eventually ending up in shock whichmay prove fatal.",1594895,1595311
3859,"ventually ending up in shock whichmay prove fatal. 3.stage iii stage of recovery is characterized by signs of clinical improvement in subjects who haveescaped death.diagnosis in suspected cases needs to be confirmed by:1. direct microscopy of samples of stool, vomitus, water or food. under dark field illumination, orga nisms appear as several shooting stars in a dark sky. 2. culture on peptone water tellurite pwt medium. 3. biochemical tests.",1595261,1595707
3860," water tellurite pwt medium. 3. biochemical tests. complications these include acute renal shutdown, hypokalemic nephropathy, paralytic ileus, pulmonary edema and arrhythmias.management treatment consists in administering oral andor intra venous rehydration therapy along with chemotherapyto cut short the duration of disease as also to reduce period of vibrio excretion.",1595657,1596028
